COM COD,COURSE NO.,COURSE TITLE,CREDITS,SEC,ROOM,DAYS & HOURS,INSTRUCTOR,MIDSEM,COMPRE
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P1C,6013,F 1 2,Rudresh Pillai(RS),13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P2C,6114,F 1 2,Tulika Tewari(RS),13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P3C,6116,S 1 2,Suvrojyoti Biswas(RS),13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P4C,6116,T 1 2,Vijay Shankar A(RS),13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P5C,6118,T 1 2,Devanshu Sahoo(RS),13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P6C,6118,Th 1 2,Nivedan Yakolli(RS),13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P7C,6119,Th 1 2,Raja Piyush(RS),13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P8C,6018,Th 1 2,Akanksha Rao(RS),13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P9E,6114,M 1 2,"Raman(RS), Aniket Kumar(RS)",13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P10E,6116,M 1 2,"Ankit Sharma(RS), Adif Alam(RS)",13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P11E,6019,T 7 8,"Aishwarya B. Mudennavar(RS), Vipin KR Saraogi(RS)",13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P12E,6114,T 7 8,"Abhishek Karwa(RS), Kadam Aparajita Dnyan..(RS)",13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P13E,6116,Th 7 8,"Aniket Kumar(RS), Vipin KR Saraogi(RS)",13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P14E,6117,Th 7 8,"Jaya Sharma(RS), Akhil Misra(RS)",13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P15E,6114,W 1 2,"Jaya Sharma(RS), Jeevan Kittur(RS)",13/03 AN1,14/05 FN
1313,CS F241,MICROPROC & INTERFACING,3-1-4,P16E,6116,W 1 2,"Aishwarya B. Mudennavar(RS), Laveena Dadhich(RS)",13/03 AN1,14/05 FN
1655,CS F266,STUDY PROJECT,----3,L1,,,YASHVARDHAN SHARMA,,
1320,CS F303,COMPUTER NETWORKS,3-1-4,L1,6109,T Th F 4,VIRENDRA SINGH SHEKHA..,09/03 AN1,04/05 FN
1320,CS F303,COMPUTER NETWORKS,3-1-4,L2,1227,T Th F 4,Yash Sinha,09/03 AN1,04/05 FN
1320,CS F303,COMPUTER NETWORKS,3-1-4,P1,6117,M 1 2,Harshvardhan Singh Ni..(RS),09/03 AN1,04/05 FN
1320,CS F303,COMPUTER NETWORKS,3-1-4,P2,6118,M 1 2,Mallipeddi Vishnu Cha..(RS),09/03 AN1,04/05 FN
1320,CS F303,COMPUTER NETWORKS,3-1-4,P3,6119,M 1 2,Priyanshu Khandal(RS),09/03 AN1,04/05 FN
1320,CS F303,COMPUTER NETWORKS,3-1-4,P4,6116,T 7 8,Ayushi Singh(RS),09/03 AN1,04/05 FN
1320,CS F303,COMPUTER NETWORKS,3-1-4,P5,6117,W 1 2,Harshvardhan Singh Ni..(RS),09/03 AN1,04/05 FN
1320,CS F303,COMPUTER NETWORKS,3-1-4,P6,6118,W 1 2,Mallipeddi Vishnu Cha..(RS),09/03 AN1,04/05 FN
1320,CS F303,COMPUTER NETWORKS,3-1-4,P7,6119,W 1 2,Priyanshu Khandal(RS),09/03 AN1,04/05 FN
2266,CS F320,FOUNDATIONS OF DATA SCIENCE,3---3,L1,6101,M W F 8,"NAVNEET GOYAL, Bharat Richhariya",10/03 FN1,05/05 FN
2266,CS F320,FOUNDATIONS OF DATA SCIENCE,3---3,P1,6013,S 1 2,Aravind B S(RS),10/03 FN1,05/05 FN
2266,CS F320,FOUNDATIONS OF DATA SCIENCE,3---3,P2,6016,S 4 5,Aravind B S(RS),10/03 FN1,05/05 FN
1317,CS F342,COMPUTER ARCHITECTURE,3-1-4,L1,1233,M W F 8,SAURABH GANDHI,10/03 FN1,05/05 FN
1317,CS F342,COMPUTER ARCHITECTURE,3-1-4,P1,6117,S 4 5,"Rahul Runthala(RS), Shashank Srivastava(RS)",10/03 FN1,05/05 FN
1317,CS F342,COMPUTER ARCHITECTURE,3-1-4,P2,6117,M 10 11,"Rahul Runthala(RS), Laxmi(RS)",10/03 FN1,05/05 FN
1314,CS F351,THEORY OF COMPUTATION,3---3,L1,6103,T Th F 2,SHASHANK GUPTA,09/03 FN1,02/05 FN
1314,CS F351,THEORY OF COMPUTATION,3---3,T1,6107,F 9,Veena Prabhakaran,09/03 FN1,02/05 FN
1318,CS F363,COMPILER CONSTRUCTION,2-1-3,L1,5105,M W F 10,"SHASHANK GUPTA, Dhruv Kumar, Nidhi Agrawal(RS)",13/03 FN1,13/05 FN
1319,CS F364,DESIGN & ANAL OF ALGO,3---3,L1,5105,T Th F 5,ABHISHEK MISHRA,11/03 FN1,08/05 FN
1319,CS F364,DESIGN & ANAL OF ALGO,3---3,T1,6103,F 1,Asish Bera,11/03 FN1,08/05 FN
1319,CS F364,DESIGN & ANAL OF ALGO,3---3,T2,6109,Th 1,Asish Bera,11/03 FN1,08/05 FN
1319,CS F364,DESIGN & ANAL OF ALGO,3---3,T3,6104,F 1,Veena Prabhakaran,11/03 FN1,08/05 FN
1319,CS F364,DESIGN & ANAL OF ALGO,3---3,T4,6107,T 9,Veena Prabhakaran,11/03 FN1,08/05 FN
